"","all_trips$member_casual","all_trips$day_of_week","all_trips$season","all_trips$ride_length"
"1","casual","Monday","Fall",1676.06549223839
"2","member","Monday","Fall",707.526330055707
"3","casual","Tuesday","Fall",1283.52212041885
"4","member","Tuesday","Fall",675.142740523866
"5","casual","Wednesday","Fall",1308.18010744092
"6","member","Wednesday","Fall",701.295225858501
"7","casual","Thursday","Fall",1319.90744048586
"8","member","Thursday","Fall",692.402719364919
"9","casual","Friday","Fall",1520.97838597782
"10","member","Friday","Fall",721.556711796054
"11","casual","Saturday","Fall",1766.69130955343
"12","member","Saturday","Fall",825.610686401346
"13","casual","Sunday","Fall",1926.28705522812
"14","member","Sunday","Fall",844.661511973044
"15","casual","Monday","Spring",1749.83713636284
"16","member","Monday","Spring",748.414495596559
"17","casual","Tuesday","Spring",1428.1601770711
"18","member","Tuesday","Spring",695.591361905395
"19","casual","Wednesday","Spring",1427.2600924673
"20","member","Wednesday","Spring",698.518268006548
"21","casual","Thursday","Spring",1466.71613226671
"22","member","Thursday","Spring",717.749059064259
"23","casual","Friday","Spring",1411.15875934483
"24","member","Friday","Spring",704.079451172032
"25","casual","Saturday","Spring",1849.25643123571
"26","member","Saturday","Spring",856.110358093734
"27","casual","Sunday","Spring",1811.38129863679
"28","member","Sunday","Spring",834.181997927348
"29","casual","Monday","Summer",1626.37782237346
"30","member","Monday","Summer",777.313869564884
"31","casual","Tuesday","Summer",1435.80574830548
"32","member","Tuesday","Summer",766.045913456616
"33","casual","Wednesday","Summer",1367.00717097315
"34","member","Wednesday","Summer",764.573279206014
"35","casual","Thursday","Summer",1404.89748869577
"36","member","Thursday","Summer",782.734655584858
"37","casual","Friday","Summer",1491.25310598283
"38","member","Friday","Summer",789.6746993121
"39","casual","Saturday","Summer",1697.2481156095
"40","member","Saturday","Summer",915.152896569324
"41","casual","Sunday","Summer",1794.85728659267
"42","member","Sunday","Summer",921.276000807676
"43","casual","Monday","Winter",1388.28272305312
"44","member","Monday","Winter",624.897005562789
"45","casual","Tuesday","Winter",1373.93494171862
"46","member","Tuesday","Winter",604.791457224824
"47","casual","Wednesday","Winter",1548.12358095997
"48","member","Wednesday","Winter",613.279172291596
"49","casual","Thursday","Winter",1614.24315836698
"50","member","Thursday","Winter",619.969977697718
"51","casual","Friday","Winter",1322.85043741588
"52","member","Friday","Winter",640.21241813602
"53","casual","Saturday","Winter",1491.19941157241
"54","member","Saturday","Winter",662.248107739516
"55","casual","Sunday","Winter",1851.19873575328
"56","member","Sunday","Winter",686.193765418255
